Threshold (τ),Precision,Recall,F1-Score,Total Executions,False Positives
0.1,0.33,0.9558,0.4907,1115,747
0.15,0.4024,0.9481,0.565,907,542
0.2,0.4721,0.9455,0.6298,771,407
0.25,0.5324,0.9377,0.6792,678,317
0.3,0.5676,0.9377,0.7071,636,275
0.35,0.6074,0.9325,0.7357,591,232
0.4,0.6343,0.9325,0.755,566,207
0.45,0.6611,0.9325,0.7737,543,184
0.5,0.6807,0.9247,0.7841,523,167
0.55,0.7066,0.9195,0.7991,501,147
0.6,0.7154,0.9143,0.8027,492,140
0.65,0.7322,0.9091,0.8111,478,128
0.7,0.7505,0.9065,0.8212,465,116
0.75,0.7556,0.8831,0.8144,450,110
0.8,0.7731,0.8675,0.8176,432,98
0.85,0.7961,0.8519,0.8231,412,84
0.9,0.8144,0.8208,0.8176,388,72
0.95,0.8555,0.7532,0.8011,339,49
